date,0,1,2,3,4,5,6
10/27/2019,0.199508042,1.597100833,2.89730277,1.835692682,-1.007661442,0.216407945,5.73835083
11/3/2019,1.589920912,1.612772599,3.078513529,1.988265806,-1.011042137,0.217305153,7.475735862
11/10/2019,0.616260437,1.166970143,3.123199326,2.132053221,-1.014094524,0.218190559,6.242579162
11/17/2019,-0.555960516,0.369875323,3.043240762,2.26600036,-1.016802979,0.219064072,4.325417022
11/24/2019,-1.088179301,-0.610659556,2.855139454,2.389764352,-1.019151874,0.219925604,2.746838679
12/1/2019,-1.051733863,-1.606184578,2.574897211,2.503502138,-1.021125584,0.220775067,1.620130391
12/8/2019,-0.17315826,-2.44221796,2.218430005,2.607456495,-1.022708482,0.22161237,1.409414168
12/15/2019,0.341149569,-2.946807469,1.801653806,2.701870201,-1.023884942,0.222437426,1.096418591
12/22/2019,0.414531787,-3.015130991,1.340484588,2.786986033,-1.024639359,0.223250165,0.725482223
12/29/2019,0.185844804,-2.610155942,0.849814434,2.863046769,-1.024956209,0.224050601,0.487644456
1/5/2020,-0.224283194,-1.9025433,0.340816921,2.930295186,-1.024819986,0.224838766,0.344304392
1/12/2020,0.069610602,-1.110687664,-0.174850131,2.988974062,-1.024215189,0.225614694,0.974446375
1/19/2020,0.123711528,-0.324925994,-0.685151867,3.039326174,-1.023126311,0.226378419,1.35621195
1/26/2020,0.10088077,0.448817496,-1.178053431,3.0815943,-1.021537849,0.227129972,1.658831258
2/2/2020,-0.058711393,1.2808923,-1.64151997,3.116021217,-1.0194343,0.227869388,1.905117242
2/9/2020,-0.051598406,2.210343784,-2.063516629,3.142849703,-1.01680016,0.2285967,2.449874992
2/16/2020,0.041037188,3.083728007,-2.432008552,3.162322534,-1.013619923,0.22931194,3.070771194
2/23/2020,-0.071891013,3.679387771,-2.734960886,3.17468249,-1.009878087,0.230015142,3.267355418
3/1/2020,0.122676103,3.769070508,-2.963841918,3.18017338,-1.00556018,0.230706339,3.333224232
3/8/2020,-0.161606042,3.458509736,-3.122941228,3.17904315,-1.000655868,0.231385565,2.583735313
3/15/2020,-0.046320197,3.08270125,-3.215286431,3.171543536,-0.995158604,0.232052852,2.229532406
3/22/2020,0.156489447,2.728390769,-3.24271386,3.157937299,-0.989072867,0.232708234,2.043739022
3/29/2020,-0.076912369,2.430587942,-3.207121759,3.138551862,-0.982405894,0.233351743,1.536051526
4/5/2020,-0.146123318,2.113478105,-3.110632616,3.113938899,-0.975164922,0.233983414,1.229479563
4/12/2020,0.251116373,1.712626012,-2.955337327,3.084618485,-0.967357185,0.234603279,1.360269638
4/19/2020,0.283355816,1.345670893,-2.74330341,3.051087321,-0.95898992,0.235211371,1.213032071
4/26/2020,-0.414107427,1.007581483,-2.476598383,3.013842109,-0.950070363,0.235807724,0.416455141
5/3/2020,0.603979301,0.572860805,-2.157289766,2.973379547,-0.940605751,0.23639237,1.288716506
5/10/2020,0.677352208,-0.039595966,-1.787445077,2.930196338,-0.930603318,0.236965344,1.086869528
5/17/2020,-0.117151728,-0.811169097,-1.369131835,2.884789182,-0.920070302,0.237526677,-0.095207103
5/24/2020,-0.765846525,-1.425748841,-0.904417557,2.837654779,-0.909013938,0.238076404,-0.929295679
5/31/2020,-0.219767153,-1.584660026,-0.39536308,2.789289832,-0.897441463,0.238614557,-0.069327333
6/7/2020,0.148075792,-1.350658399,0.152511226,2.740191039,-0.885360112,0.23914117,1.043900716
6/14/2020,0.293008192,-0.863783918,0.719746588,2.690855102,-0.872777121,0.239656276,2.206705118
6/21/2020,0.452280082,-0.260590269,1.283397958,2.641778722,-0.859699727,0.240159907,3.497326672
6/28/2020,0.255642532,0.30316601,1.820520288,2.593458599,-0.846135166,0.240652098,4.367304362
7/5/2020,-0.28807471,0.596714152,2.308168534,2.546391434,-0.832090673,0.241132881,4.572241619
7/12/2020,-0.015449385,0.471363938,2.723092697,2.501073929,-0.817573485,0.24160229,5.104109984
7/19/2020,0.228638016,0.152787699,3.040988909,2.458002782,-0.802590837,0.242060357,5.319886926
7/26/2020,-0.226719812,-0.089626032,3.237912062,2.417674696,-0.787149967,0.242507117,4.794598063
8/2/2020,0.015331832,-0.172878631,3.293411455,2.380586371,-0.771258109,0.242942601,4.98813552
8/9/2020,0.204605919,-0.219386107,3.202526662,2.347046901,-0.7549225,0.243366844,5.023237719
8/16/2020,-0.159273273,-0.314664871,2.970711025,2.316614951,-0.738150377,0.243779878,4.319017333
8/23/2020,-0.024068115,-0.265353412,2.599991398,2.288661581,-0.720948974,0.244181736,4.122464214
8/30/2020,0.047283545,-0.049644414,2.098512428,2.26255785,-0.703325528,0.244572453,3.899956334
9/6/2020,-0.03617496,0.286437271,1.49220565,2.237674817,-0.685287276,0.24495206,3.539807563
9/13/2020,0.078921772,0.62190088,0.811205967,2.21338354,-0.666841452,0.245320592,3.303891298
9/20/2020,0.022369985,0.986460806,0.085552527,2.189055079,-0.647995294,0.245678081,2.881121183
9/27/2020,-0.276254606,1.217706896,-0.654739462,2.164060492,-0.628756038,0.24602456,2.068041843
10/4/2020,0.435143559,1.117812931,-1.378585158,2.13777084,-0.609130918,0.246360063,1.949371316
10/11/2020,0.480910177,0.598092634,-2.050621186,2.10955718,-0.589127172,0.246684623,0.795496256
10/18/2020,-0.478417099,-0.314222034,-2.634414534,2.078790571,-0.568752036,0.246998273,-1.67001686
10/25/2020,-0.559794469,-1.322277432,-3.093532196,2.044842073,-0.548012745,0.247301047,-3.231473721
11/1/2020,-0.577828204,-2.063343859,-3.39154116,2.007082745,-0.526916536,0.247592976,-4.304954038
11/8/2020,0.376923062,-2.256980169,-3.492008418,1.964883645,-0.505470644,0.247874096,-3.664778428
11/15/2020,0.469342888,-1.939767311,-3.370687743,1.917670508,-0.483682306,0.248144438,-3.158979527
11/22/2020,0.120723377,-1.220709084,-3.052080039,1.865087766,-0.461558758,0.248404036,-2.500132703
11/29/2020,-0.277162294,-0.351328095,-2.572872995,1.806834526,-0.439107236,0.248652923,-1.584983172
12/6/2020,0.184368866,0.391951188,-1.969754298,1.742609896,-0.416334976,0.248891132,0.181731809
12/13/2020,-0.116151587,0.861745258,-1.279411635,1.672112984,-0.393249213,0.249118697,0.994164504
12/20/2020,0.085658512,1.224376242,-0.538532694,1.595042896,-0.369857185,0.249335651,2.246023422
12/27/2020,-0.096664155,1.643457497,0.216194838,1.511098741,-0.346166126,0.249542026,3.17746282
1/3/2021,0.063776047,1.956081063,0.948083273,1.419979625,-0.322183274,0.249737857,4.31547459
1/10/2021,0.262824769,2.065321452,1.620444923,1.321384656,-0.297915864,0.249923175,5.221983112
1/17/2021,0.362631451,1.918750886,2.199317858,1.215012942,-0.273371132,0.250098015,5.67244002
1/24/2021,0.371527376,1.510742084,2.665374613,1.10056359,-0.248556315,0.25026241,5.649913758
1/31/2021,0.104094234,0.949839471,3.016939253,0.977735708,-0.223478648,0.250416392,5.07554641
2/7/2021,-0.473957084,0.37202237,3.256067283,0.846228402,-0.198145367,0.250559996,4.0527756
2/14/2021,-0.463318729,-0.140210607,3.384814208,0.70574078,-0.172563709,0.250693253,3.565155196
2/21/2021,0.447865983,-0.634987389,3.405174821,0.556032663,-0.146740909,0.250816198,3.878161368
2/28/2021,-0.387771464,-0.835884534,3.318774446,0.397233342,-0.120684204,0.250928863,2.622596448
3/7/2021,0.321844373,-0.394398127,3.136394156,0.230039299,-0.094400829,0.251031282,3.450510154
3/14/2021,-0.279722076,0.263888899,2.907580191,0.055273639,-0.067898021,0.251123487,3.13024612
3/21/2021,-0.050143896,0.463668184,2.690521496,-0.126240534,-0.041183016,0.251205513,3.187827748
3/28/2021,0.289344655,0.242005191,2.527410287,-0.313680118,-0.014263049,0.251277392,2.982094358
4/4/2021,0.332480674,-0.120122749,2.412655389,-0.506222008,0.012854642,0.251339157,2.382985106
4/11/2021,-0.381115228,-0.355816888,2.328989845,-0.703043101,0.040162823,0.251390842,1.180568292
4/18/2021,0.1028358,-0.258945942,2.257181729,-0.903320294,0.067654256,0.251432479,1.516838028
4/25/2021,0.485072682,0.041823994,2.170299187,-1.106230482,0.095321707,0.251464103,1.937751191
